title,artist,videoId,score,seed_key
Rain,Sleep Token,7Fncun4ObQk,100.0,Rain Sleep Token alt rock
Caramel,Sleep Token,MFXoChnyIPk,100.0,Caramel Sleep Token alt rock
Sirens,Imagine Dragons,UifhP18N67E,100.0,Sirens Imagine Dragons alt rock
Teardrops,Bring Me The Horizon,iKhHd9ySXEw,100.0,Teardrops Bring Me The Horizon alt rock
Dark Signs,Sleep Token,RYtERGVEwj0,100.0,Dark Signs Sleep Token alt rock
Without Me,Dayseeker,B9jIppi23zM,100.0,Without Me Dayseeker alt rock
#1,Imagine Dragons,C3AGbtAnFLA,90.9090909090909,Sirens Imagine Dragons alt rock
n/A,Bring Me The Horizon,PA_vtOcnhZY,90.9090909090909,sTrAnGeRs Bring Me The Horizon alt rock
LosT,Bring Me The Horizon,W1vfB0l3-Pg,88.88888888888889,sTrAnGeRs Bring Me The Horizon alt rock
Paladin Strait (8-Bit Twenty One Pilots Emulation),8-Bit Arcade,DNrBJXzCeh8,87.67123287671232,Paladin Strait Twenty One Pilots alt rock
Drown,Bring Me The Horizon,ymo9oX83kJI,86.95652173913044,Teardrops Bring Me The Horizon alt rock
Middle of the Night (8-Bit Loveless Emulation),8-Bit Arcade,a4rtOKbO3GE,86.15384615384616,Middle of the Night Loveless alt rock
Throne,Bring Me The Horizon,aJjvKCtivak,85.1063829787234,Teardrops Bring Me The Horizon alt rock
Ludens,Bring Me The Horizon,caYD1-uck_c,85.1063829787234,Teardrops Bring Me The Horizon alt rock
MANTRA,Bring Me The Horizon,khXYDXeMX_0,85.1063829787234,Teardrops Bring Me The Horizon alt rock
Waves,Imagine Dragons,HQXPxR6yZoA,83.33333333333333,Sirens Imagine Dragons alt rock
Bones,Imagine Dragons,V2SVRJ6dcE4,83.33333333333333,Sirens Imagine Dragons alt rock
Dark Signs (Instrumental),Sleep Token,rT0RbZf3aYk,83.01886792452831,Dark Signs Sleep Token alt rock
medicine,Bring Me The Horizon,aENGS-kjKhk,81.63265306122449,Teardrops Bring Me The Horizon alt rock
Antivist,Bring Me The Horizon,Q3OfcbcFvcY,81.63265306122449,sTrAnGeRs Bring Me The Horizon alt rock
Without Me (Acoustic) (feat. Amber DeLaRosa),Dayseeker,oOq9ciT6Vsw,81.63265306122449,Without Me Dayseeker alt rock
Jaws,Sleep Token,hxq3baQyEzY,81.48148148148148,Caramel Sleep Token alt rock
Sharks,Imagine Dragons,jvwDooKFMLk,81.08108108108108,Sirens Imagine Dragons alt rock
Lonely,Imagine Dragons,pC9VKiAlACY,81.08108108108108,Sirens Imagine Dragons alt rock
Selene,Imagine Dragons,3rJkUk0m_Mo,81.08108108108108,Sirens Imagine Dragons alt rock
I Wish,Imagine Dragons,IMzoinmVeEw,81.08108108108108,Sirens Imagine Dragons alt rock
Demons,Imagine Dragons,J1aVXLHQRd4,81.08108108108108,Sirens Imagine Dragons alt rock
sTraNgeRs,Bring Me The Horizon,XvxhZmJSa2Q,80.0,sTrAnGeRs Bring Me The Horizon alt rock
sTraNgeRs,Bring Me The Horizon,ZCtTgJDcFcQ,80.0,sTrAnGeRs Bring Me The Horizon alt rock
Sun,Loveless,XfhZvWymg5w,80.0,Middle of the Night Loveless alt rock
Paladin Strait,twenty one pilots,aLGQTKtbkbg,79.45205479452055,Paladin Strait Twenty One Pilots alt rock
Thunder,Imagine Dragons,9ssQKlLxBdQ,78.94736842105263,Sirens Imagine Dragons alt rock
Rise Up,Imagine Dragons,x12CWu3V0lg,78.94736842105263,Sirens Imagine Dragons alt rock
Natural,Imagine Dragons,pXu6JC6-d_o,78.94736842105263,Sirens Imagine Dragons alt rock
Wrecked,Imagine Dragons,0Y8Bk7qEyYE,78.94736842105263,Sirens Imagine Dragons alt rock
Happy Song,Bring Me The Horizon,Stb1zlaOZO8,78.43137254901961,Teardrops Bring Me The Horizon alt rock
Follow You,Bring Me The Horizon,RqQKhSzThyc,78.43137254901961,sTrAnGeRs Bring Me The Horizon alt rock
Symphony,Imagine Dragons,UaF9OL8k10w,76.92307692307692,Sirens Imagine Dragons alt rock
Believer,Imagine Dragons,Kx7B-XvmFtE,76.92307692307692,Sirens Imagine Dragons alt rock
Bad Liar,Imagine Dragons,I203G1sMGDg,76.92307692307692,Sirens Imagine Dragons alt rock
Usurper,"NXCRE, The Villains",tGD4WjRIpCw,76.92307692307692,Usurper The Villians & NXCRE alt metal
MJ,NXCRE,fjH5JlTAtgg,76.92307692307692,Usurper The Villians & NXCRE alt metal
What You Need,Bring Me The Horizon,k48k3BUdcXQ,76.7123287671233,Teardrops Bring Me The Horizon alt rock
DiE4u,Bring Me the Horizon,45ZkW-m91VA,76.19047619047619,Teardrops Bring Me The Horizon alt rock
Euclid,Sleep Token,DDdByJYUVeA,75.86206896551724,Rain Sleep Token alt rock
Higher,Sleep Token,mbB3Z8uZlqY,75.86206896551724,Dark Signs Sleep Token alt rock
Parasite Eve,Bring Me The Horizon,GbiB9BBs_qk,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Sleepwalking,Bring Me The Horizon,1Y6MNSVNxf8,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Shadow Moses,Bring Me The Horizon,w-9QbmebBn8,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Shadow Moses,Bring Me The Horizon,VXuohkmlupA,75.47169811320755,Teardrops Bring Me The Horizon alt rock
